"";"Region";"Gender";"Entries";"Perc"
"1";"Alentejo";"Feminine";76;0,0405117270788913
"2";"Algarve";"Feminine";64;0,0341151385927505
"3";"Centro";"Feminine";174;0,0927505330490405
"4";"LVT";"Feminine";763;0,406716417910448
"5";"Norte";"Feminine";799;0,42590618336887
"6";"Alentejo";"Masculine";180;0,0439453125
"7";"Algarve";"Masculine";179;0,043701171875
"8";"Centro";"Masculine";425;0,103759765625
"9";"LVT";"Masculine";1643;0,401123046875
"10";"Norte";"Masculine";1669;0,407470703125
